area_code,country,state,city
336,"United States","North Carolina","Winston Salem"
337,"United States",Louisiana,"Lafayette, Lake Charles"
340,"Virgin Islands","(All Locations)","(All Locations)"
345,"Cayman Islands","(All Locations)","(All Locations)"
347,"United States","New York","Bronx, Queens, Brooklyn, Staten Island"
352,"United States",Florida,"Gainesville, Ocala"
360,"United States",Washington,"Olympia, Bellingham, Aberdeen"
361,"United States",Texas,"Corpus Christi, Victoria"
385,"United States",Utah,"Provo, Ogden"
401,"United States","Rhode Island","(All Locations)"
402,"United States",Nebraska,"Omaha, Lincoln"
403,Canada,Alberta,"Calgary, southern portion"
404,"United States",Georgia,Atlanta
405,"United States",Oklahoma,"Oklahoma City, Edmond"
406,"United States",Montana,"(All Locations)"
407,"United States",Florida,Orlando
408,"United States",California,"San Jose, Sunnyvale, Los Gatos"
409,"United States",Texas,"Beaumont, Galveston"
410,"United States",Maryland,"Baltimore, Cambridge"
412,"United States",Pennsylvania,Pittsburgh
413,"United States",Massachusetts,"Springfield, Pittsfield"
414,"United States",Wisconsin,Milwaukee
415,"United States",California,"San Francisco, Novato, San Rafael"
416,Canada,Ontario,Toronto
417,"United States",Missouri,"Springfield, Joplin"
418,Canada,Quebec,Quebec
419,"United States",Ohio,"Toledo, Sandusky, Bowling Green"
